CO_MESORREGIAO,NO_MESORREGIAO,CO_MICRORREGIAO,NO_MICRORREGIAO
4,Vale do Itajaí,14,Ituporanga
4,Vale do Itajaí,11,Rio do Sul
1,Oeste Catarinense,4,Joaçaba
1,Oeste Catarinense,2,Chapecó
5,Grande Florianópolis,17,Tabuleiro
1,Oeste Catarinense,5,Concórdia
1,Oeste Catarinense,1,São Miguel do Oeste
5,Grande Florianópolis,15,Tijucas
3,Serrana,10,Campos de Lages
5,Grande Florianópolis,16,Florianópolis
4,Vale do Itajaí,12,Blumenau
2,Norte Catarinense,8,Joinville
6,Sul Catarinense,20,Araranguá
6,Sul Catarinense,18,Tubarão
4,Vale do Itajaí,13,Itajaí
2,Norte Catarinense,6,Canoinhas
2,Norte Catarinense,7,São Bento do Sul
6,Sul Catarinense,19,Criciúma
6,Sudoeste Rio-grandense,31,Campanha Meridional
1,Noroeste Rio-grandense,10,Passo Fundo
3,Centro Ocidental Rio-grandense,19,Restinga Seca
1,Noroeste Rio-grandense,8,Ijuí
1,Noroeste Rio-grandense,1,Santa Rosa
6,Sudoeste Rio-grandense,29,Campanha Ocidental
1,Noroeste Rio-grandense,9,Carazinho
1,Noroeste Rio-grandense,3,Frederico Westphalen
1,Noroeste Rio-grandense,11,Cruz Alta
5,Metropolitana de Porto Alegre,23,Montenegro
5,Metropolitana de Porto Alegre,26,Porto Alegre
7,Sudeste Rio-grandense,32,Serras de Sudeste
2,Nordeste Rio-grandense,14,Guaporé
2,Nordeste Rio-grandense,16,Caxias do Sul
5,Metropolitana de Porto Alegre,28,Camaquã
1,Noroeste Rio-grandense,4,Erechim
4,Centro Oriental Rio-grandense,21,Lajeado-Estrela
5,Metropolitana de Porto Alegre,27,Osório
7,Sudeste Rio-grandense,33,Pelotas
5,Metropolitana de Porto Alegre,25,São Jerônimo
4,Centro Oriental Rio-grandense,20,Santa Cruz do Sul
7,Sudeste Rio-grandense,34,Jaguarão
1,Noroeste Rio-grandense,5,Sananduva
1,Noroeste Rio-grandense,2,Três Passos
1,Noroeste Rio-grandense,13,Soledade
2,Nordeste Rio-grandense,15,Vacaria
1,Noroeste Rio-grandense,7,Santo Ângelo
3,Centro Ocidental Rio-grandense,18,Santa Maria
4,Centro Oriental Rio-grandense,22,Cachoeira do Sul
1,Noroeste Rio-grandense,6,Cerro Largo
5,Metropolitana de Porto Alegre,24,Gramado-Canela
3,Centro Ocidental Rio-grandense,17,Santiago
7,Sudeste Rio-grandense,35,Litoral Lagunar
1,Noroeste Rio-grandense,12,Não-Me-Toque
6,Sudoeste Rio-grandense,30,Campanha Central
3,Leste de Mato Grosso do Sul,7,Três Lagoas
2,Centro Norte de Mato Grosso do Sul,3,Alto Taquari
4,Sudoeste de Mato Grosso do Sul,10,Dourados
1,Pantanais Sul Mato-grossense,2,Aquidauana
3,Leste de Mato Grosso do Sul,8,Nova Andradina
4,Sudoeste de Mato Grosso do Sul,11,Iguatemi
3,Leste de Mato Grosso do Sul,6,Paranaíba
2,Centro Norte de Mato Grosso do Sul,4,Campo Grande
4,Sudoeste de Mato Grosso do Sul,9,Bodoquena
3,Leste de Mato Grosso do Sul,5,Cassilândia
1,Pantanais Sul Mato-grossense,1,Baixo Pantanal
4,Centro-Sul Mato-grossense,16,Rosário Oeste
2,Nordeste Mato-grossense,10,Canarana
1,Norte Mato-grossense,2,Alta Floresta
5,Sudeste Mato-grossense,22,Alto Araguaia
2,Nordeste Mato-grossense,9,Norte Araguaia
4,Centro-Sul Mato-grossense,15,Alto Paraguai
2,Nordeste Mato-grossense,11,Médio Araguaia
5,Sudeste Mato-grossense,20,Tesouro
3,Sudoeste Mato-grossense,14,Jauru
1,Norte Mato-grossense,1,Aripuanã
4,Centro-Sul Mato-grossense,18,Alto Pantanal
3,Sudoeste Mato-grossense,13,Tangará da Serra
1,Norte Mato-grossense,4,Parecis
5,Sudeste Mato-grossense,19,Primavera do Leste
4,Centro-Sul Mato-grossense,17,Cuiabá
1,Norte Mato-grossense,7,Sinop
1,Norte Mato-grossense,3,Colíder
3,Sudoeste Mato-grossense,12,Alto Guaporé
5,Sudeste Mato-grossense,21,Rondonópolis
1,Norte Mato-grossense,8,Paranatinga
1,Norte Mato-grossense,6,Alto Teles Pires
1,Norte Mato-grossense,5,Arinos
3,Centro Goiano,10,Goiânia
4,Leste Goiano,12,Entorno de Brasília
5,Sul Goiano,14,Vale do Rio dos Bois
3,Centro Goiano,9,Anicuns
5,Sul Goiano,15,Meia Ponte
2,Norte Goiano,4,Porangatu
2,Norte Goiano,5,Chapada dos Veadeiros
4,Leste Goiano,11,Vão do Paranã
3,Centro Goiano,8,Iporá
3,Centro Goiano,7,Anápolis
5,Sul Goiano,17,Catalão
5,Sul Goiano,13,Sudoeste de Goiás
1,Noroeste Goiano,3,Aragarças
1,Noroeste Goiano,2,Rio Vermelho
3,Centro Goiano,6,Ceres
5,Sul Goiano,18,Quirinópolis
5,Sul Goiano,16,Pires do Rio
1,Noroeste Goiano,1,São Miguel do Araguaia
1,Distrito Federal,1,Brasília
